PUNTO,ESTE,NORTE,h
417,372751.6394,8303870.678,3837
418,373251.6394,8303870.678,3839
419,373751.6394,8303870.678,3840
420,374251.6394,8303870.678,3837
421,374751.6394,8303870.678,3840
422,375251.6394,8303870.678,3838
423,375751.6394,8303870.678,3836
424,376251.6394,8303870.678,3834
425,376751.6394,8303870.678,3832
426,377251.6394,8303870.678,3835
427,377751.6394,8303870.678,3832
428,378251.6394,8303870.678,3832
429,378751.6394,8303870.678,3831
430,379251.6394,8303870.678,3837
431,379751.6394,8303870.678,3836
432,380251.6394,8303870.678,3836
433,380751.6394,8303870.678,3836
434,381251.6394,8303870.678,3826
435,381751.6394,8303870.678,3829
436,382251.6394,8303870.678,3830
437,382751.6394,8303870.678,3828
438,383251.6394,8303870.678,3836
439,383751.6394,8303870.678,3836
440,384251.6394,8303870.678,3832
441,384751.6394,8303870.678,3827
442,385251.6394,8303870.678,3830
443,385751.6394,8303870.678,3832
444,386251.6394,8303870.678,3831
445,386751.6394,8303870.678,3827
446,387251.6394,8303870.678,3827
447,387751.6394,8303870.678,3829
448,388251.6394,8303870.678,3828
449,388751.6394,8303870.678,3829
450,389251.6394,8303870.678,3833
451,389751.6394,8303870.678,3835
452,390251.6394,8303870.678,3879
453,390751.6394,8303870.678,3916
454,391251.6394,8303870.678,3862
455,391751.6394,8303870.678,3871
456,392251.6394,8303870.678,3890
457,392751.6394,8303870.678,3943
458,393251.6394,8303870.678,4086
459,393751.6394,8303870.678,3936
460,394251.6394,8303870.678,3925
461,394751.6394,8303870.678,3932
462,395251.6394,8303870.678,3856
463,395751.6394,8303870.678,3833
464,396251.6394,8303870.678,3821
465,396751.6394,8303870.678,3821
466,397251.6394,8303870.678,3824
467,397751.6394,8303870.678,3821
468,398251.6394,8303870.678,3820
469,398751.6394,8303870.678,3818
470,399251.6394,8303870.678,3819
471,399751.6394,8303870.678,3820
472,400251.6394,8303870.678,3822
473,400751.6394,8303870.678,3823
474,401251.6394,8303870.678,3820
475,362251.6394,8303370.678,4302
476,362751.6394,8303370.678,4218
477,363251.6394,8303370.678,4158
478,363751.6394,8303370.678,4111
479,364251.6394,8303370.678,4101
480,364751.6394,8303370.678,4068
481,365251.6394,8303370.678,4031
482,365751.6394,8303370.678,4017
483,366251.6394,8303370.678,4083
484,366751.6394,8303370.678,4216
485,367251.6394,8303370.678,4323
486,367751.6394,8303370.678,4315
487,368251.6394,8303370.678,4385
488,368751.6394,8303370.678,4309
489,369251.6394,8303370.678,4208
490,369751.6394,8303370.678,3963
491,370251.6394,8303370.678,3907
492,370751.6394,8303370.678,3850
493,371251.6394,8303370.678,3845
494,371751.6394,8303370.678,3917
495,372251.6394,8303370.678,3930
496,372751.6394,8303370.678,3841
497,373251.6394,8303370.678,3837
498,373751.6394,8303370.678,3843
499,374251.6394,8303370.678,3837
500,374751.6394,8303370.678,3838
501,375251.6394,8303370.678,3834
502,375751.6394,8303370.678,3837
503,376251.6394,8303370.678,3836
504,376751.6394,8303370.678,3839
505,377251.6394,8303370.678,3836
506,377751.6394,8303370.678,3834
507,378251.6394,8303370.678,3833
508,378751.6394,8303370.678,3835
509,379251.6394,8303370.678,3832
510,379751.6394,8303370.678,3835
511,380251.6394,8303370.678,3837
512,380751.6394,8303370.678,3836
513,381251.6394,8303370.678,3826
514,381751.6394,8303370.678,3827
515,382251.6394,8303370.678,3830
516,382751.6394,8303370.678,3836
517,383251.6394,8303370.678,3834
518,383751.6394,8303370.678,3835
519,384251.6394,8303370.678,3834
520,384751.6394,8303370.678,3833
521,385251.6394,8303370.678,3835
